seq[560], delay = 2671900
seq[561], delay = 1931100
seq[562], delay = 2202300
seq[563], delay = 1987100
seq[564], delay = 2999000
seq[565], delay = 2061400
seq[566], delay = 1524000
seq[567], delay = 2137200
seq[568], delay = 3519100
seq[569], delay = 2452700
seq[570], delay = 2000000
seq[571], delay = 1771900
seq[572], delay = 10521800
seq[573], delay = 4993400
seq[574], delay = 2061200
seq[575], delay = 1785500
seq[576], delay = 3064900
seq[577], delay = 3171700
seq[578], delay = 1619100
seq[579], delay = 3549800
seq[580], delay = 1826500
seq[581], delay = 1919100
seq[582], delay = 1762300
seq[583], delay = 1597000
seq[584], delay = 3078400
seq[585], delay = 1732600
seq[586], delay = 2328800
seq[587], delay = 1655800
seq[588], delay = 1771700
seq[589], delay = 1583500
seq[590], delay = 1629400
seq[591], delay = 20826100
seq[592], delay = 1492300
seq[593], delay = 1830200
seq[594], delay = 4450800
seq[595], delay = 1614800
seq[596], delay = 1844300
seq[597], delay = 1873700
seq[598], delay = 1534900
seq[599], delay = 2595800
seq[600], delay = 1560600
seq[601], delay = 10397500
seq[602], delay = 1789300
seq[603], delay = 1662000
seq[604], delay = 1639200
seq[605], delay = 2060900
seq[606], delay = 1808800
seq[607], delay = 14059200
seq[608], delay = 1718100
seq[609], delay = 2491600
seq[610], delay = 10112100
seq[611], delay = 3325500
seq[612], delay = 1671700
seq[613], delay = 10451800
seq[614], delay = 1921200
seq[615], delay = 1580300
seq[616], delay = 1825800
seq[617], delay = 1694800
seq[618], delay = 4921000
seq[619], delay = 2823700
seq[620], delay = 1599400
seq[621], delay = 8601000
seq[622], delay = 1852300
seq[623], delay = 1898200
seq[624], delay = 4045600
seq[625], delay = 1942600
seq[626], delay = 8318900
seq[627], delay = 2016700
seq[628], delay = 1977800
seq[629], delay = 3775700
seq[630], delay = 1959900
seq[631], delay = 1993500
seq[632], delay = 1510400
seq[633], delay = 1468100
seq[634], delay = 10344600
seq[635], delay = 10324700
seq[636], delay = 1388000
seq[637], delay = 10075300
seq[638], delay = 6028000
seq[639], delay = 2185800
seq[640], delay = 10398400
seq[641], delay = 2182600
seq[642], delay = 1777700
seq[643], delay = 1875800
seq[644], delay = 2619700
seq[645], delay = 1804000
seq[646], delay = 1850200
seq[647], delay = 6342100
seq[648], delay = 1424000
seq[649], delay = 1728500
seq[650], delay = 3599400
seq[651], delay = 2061900
seq[652], delay = 1441100
seq[653], delay = 1860400
seq[654], delay = 1932400
seq[655], delay = 1554500
seq[656], delay = 1761900
seq[657], delay = 1646300
seq[658], delay = 1598300
seq[659], delay = 32155300
seq[660], delay = 95072800
seq[661], delay = 12392000
seq[662], delay = 1726900
seq[663], delay = 2078200
seq[664], delay = 3468300
seq[665], delay = 2744700
seq[666], delay = 1570400
seq[667], delay = 2226400
seq[668], delay = 2883000
seq[669], delay = 2771300
seq[670], delay = 1876500
seq[671], delay = 1636300
seq[672], delay = 1654300
seq[673], delay = 1477700
seq[674], delay = 1683800
seq[675], delay = 10438900
seq[676], delay = 4194400
seq[677], delay = 1625800
seq[678], delay = 1737100
seq[679], delay = 10018600
seq[680], delay = 1703900
seq[681], delay = 3748100
seq[682], delay = 2041400
seq[683], delay = 1831300
seq[684], delay = 1783800
seq[685], delay = 10180500
seq[686], delay = 3960600
seq[687], delay = 1615600
seq[688], delay = 2286500
seq[689], delay = 1952600
seq[690], delay = 10697400
seq[691], delay = 1523100
seq[692], delay = 2483800
seq[693], delay = 2974500
seq[694], delay = 1547500
seq[695], delay = 1442500
seq[696], delay = 6270700
seq[697], delay = 1918800
seq[698], delay = 1707400
seq[699], delay = 4278300
seq[700], delay = 1726000
seq[701], delay = 20465800
seq[702], delay = 1891600
seq[703], delay = 2002800
seq[704], delay = 1588000
seq[705], delay = 10136600
seq[706], delay = 3513800
seq[707], delay = 11543400
seq[708], delay = 1853000
seq[709], delay = 9977300
seq[710], delay = 2306600
seq[711], delay = 1866000
seq[712], delay = 1898300
seq[713], delay = 1603300
seq[714], delay = 2921100
seq[715], delay = 1620300
seq[716], delay = 1950300
seq[717], delay = 3788200
seq[718], delay = 1763800
seq[719], delay = 3671700
seq[720], delay = 1619400
seq[721], delay = 1846300
seq[722], delay = 1693900
seq[723], delay = 3290000
seq[724], delay = 1551400
seq[725], delay = 3017300
seq[726], delay = 1677500
seq[727], delay = 3073400
seq[728], delay = 2538300
seq[729], delay = 1689200
seq[730], delay = 1462400
seq[731], delay = 1576300
seq[732], delay = 10314700
seq[733], delay = 1764900
seq[734], delay = 3542400
seq[735], delay = 1696900
seq[736], delay = 3089900
seq[737], delay = 6061500
seq[738], delay = 1869500
seq[739], delay = 1551800
seq[740], delay = 3424300
seq[741], delay = 1829000
seq[742], delay = 1764200
seq[743], delay = 2307700
seq[744], delay = 1852100
seq[745], delay = 1559000
seq[746], delay = 7279000
seq[747], delay = 2018000
seq[748], delay = 10180200
seq[749], delay = 1683300
seq[750], delay = 1696200
seq[751], delay = 1684400
seq[752], delay = 1576600
seq[753], delay = 1670700
seq[754], delay = 2698800
seq[755], delay = 1815500
seq[756], delay = 1592800
seq[757], delay = 3824100
seq[758], delay = 1701700
seq[759], delay = 1653900
seq[760], delay = 10184700
seq[761], delay = 3029400
seq[762], delay = 10892000
seq[763], delay = 5665200
seq[764], delay = 1482000
seq[765], delay = 1677000
